STATE,COUNTY,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Colorado,Douglas County,393995,198491,195504,171910,169996,4800,3687,1137,1165,14046,14292,254,224,6344,6140,177948,175839,6588,5391,2407,2403,17626,17790,655,616,177288,174461,153100,151300,4279,3180,623,608,13768,13984,191,148,5327,5241,158194,156302,5787,4645,1446,1450,16973,17143,535,492,21203,21043,18810,18696,521,507,514,557,278,308,63,76,1017,899,19754,19537,801,746,961,953,653,647,120,124
Colorado,Eagle County,54330,28833,25497,26943,23819,536,350,389,302,450,459,34,35,481,532,27394,24306,654,503,601,524,600,633,72,73,20057,17475,18866,16335,334,220,100,85,393,411,13,10,351,414,19192,16715,433,347,220,230,527,564,42,42,8776,8022,8077,7484,202,130,289,217,57,48,21,25,130,118,8202,7591,221,156,381,294,73,69,30,31
Colorado,Elbert County,29382,15076,14306,13983,13344,297,163,169,140,178,242,33,29,416,388,14371,13701,412,285,343,313,304,351,68,55,13484,12833,12640,12085,257,145,106,89,143,192,22,16,316,306,12931,12367,355,250,215,212,253,285,51,34,1592,1473,1343,1259,40,18,63,51,35,50,11,13,100,82,1440,1334,57,35,128,101,51,66,17,21
Colorado,El Paso County,752772,382356,370416,312734,303164,29136,24752,5590,5371,12181,15201,1544,1590,21171,20338,332225,322006,38958,34000,10958,10728,20796,23495,3182,3190,307876,297668,251797,243673,25389,20821,2165,2240,11180,14224,1129,1079,16216,15631,266690,258122,33096,28137,5308,5408,18380,21158,2397,2309,74480,72748,60937,59491,3747,3931,3425,3131,1001,977,415,511,4955,4707,65535,63884,5862,5863,5650,5320,2416,2337,785,881
Colorado,Fremont County,50093,29123,20970,25692,19805,1928,178,627,282,324,167,23,22,529,516,26195,20292,2039,297,946,612,434,251,50,47,24215,18953,21184,18075,1861,147,463,175,302,149,9,14,396,393,21559,18440,1950,248,683,409,396,223,31,36,4908,2017,4508,1730,67,31,164,107,22,18,14,8,133,123,4636,1852,89,49,263,203,38,28,19,11
Colorado,Garfield County,63167,32585,30582,30310,28510,606,437,622,576,309,359,64,66,674,634,30939,29103,747,579,1018,930,474,521,106,107,21325,20559,20164,19459,301,175,149,141,248,305,38,20,425,459,20559,19886,405,285,350,366,380,444,68,52,11260,10023,10146,9051,305,262,473,435,61,54,26,46,249,175,10380,9217,342,294,668,564,94,77,38,55
Colorado,Gilpin County,5963,3169,2794,2904,2496,60,41,57,38,45,66,12,3,91,150,2988,2637,87,81,97,114,66,106,23,13,2942,2587,2721,2329,58,31,37,22,40,64,11,3,75,138,2789,2458,80,69,68,89,61,103,19,13,227,207,183,167,2,10,20,16,5,2,1,0,16,12,199,179,7,12,29,25,5,3,4,0
Colorado,Grand County,16154,8718,7436,8213,7026,156,88,73,71,82,85,9,10,185,156,8382,7175,210,141,165,154,126,106,29,21,7786,6647,7410,6324,126,79,40,46,69,81,5,8,136,109,7535,6427,169,117,98,98,106,100,21,17,932,789,803,702,30,9,33,25,13,4,4,2,49,47,847,748,41,24,67,56,20,6,8,4
Colorado,Gunnison County,17310,9334,7976,8665,7401,90,56,281,234,87,101,5,10,206,174,8852,7564,155,113,381,314,139,139,17,26,8360,7131,7976,6802,79,48,78,45,71,94,4,10,152,132,8114,6925,132,92,141,100,114,128,14,23,974,845,689,599,11,8,203,189,16,7,1,0,54,42,738,639,23,21,240,214,25,11,3,3
Colorado,Hinsdale County,747,394,353,371,332,2,3,7,4,4,3,0,1,10,10,381,341,6,7,12,10,5,4,0,1,372,328,354,310,2,3,6,3,2,3,0,1,8,8,362,317,6,6,9,8,3,4,0,1,22,25,17,22,0,0,1,1,2,0,0,0,2,2,19,24,0,1,3,2,2,0,0,0
